Category,SubCategory,CatID,CatShort,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh,Category_tw,SubCategory_tw,Synonyms_tw,Category_ja,SubCategory_ja,Synonyms_ja
AMBIENCE,AMUSEMENT,AMBAmus,AMB,"disneyland, six-flags, theme park, amusement park, carnival, fair, county fair, midway, traveling fair, festival, haunted house, funhouse, arcade, pinball",环境,娱乐,"迪士尼乐园, 主题公园, 游乐园, 嘉年华, 工会, 市集, 旅游博览会, 展览, 儿童乐园",環境,娛樂,"迪士尼樂園, 主題公園, 遊樂園, 嘉年華, 工會, 市集, 旅遊博覽會, 展覽, 兒童樂園",アンビエンス,遊園地,"ディズニーランド,シックスフラッグス,テーマパーク,遊園地,カーニバル,フェア,カウンティ?フェア,ミッドウェイ,トラベル?フェア,フェスティバル,お化け屋敷,ファンハウス,アーケード,ピンボール"
AMBIENCE,BIRDSONG,AMBBird,AMB,"dawn chorus, morning chorus, pretty bird, flocks, chirping, tweeting, peeping",环境,鸟鸣,"合唱团,鸟鸣,啁啾,鸣叫",環境,鳥鳴,"合唱團,鳥鳴,啁啾,鳴叫",アンビエンス,鳥の鳴き声,"夜明けのコーラス,朝のコーラス,かわいい鳥,群れ,さえずり,つぶやき,のぞき見"
AMBIENCE,CELEBRATION,AMBCele,AMB,"public gathering, event, party, gala, carnival, fest, fiesta, festival",环境,庆典,"公众聚会,活动,派对,晚会,嘉年华",環境,慶典,"公眾聚會,活動,派對,晚會,嘉年華",アンビエンス,祝福,"集会,イベント,パーティー,ガラ,カーニバル,祭り,フィエスタ,フェスティバル"
AMBIENCE,CONSTRUCTION,AMBCnst,AMB,"road construction, building, carpentry, remodel, home reno, road repair, rebuilding",环境,施工,"道路建设, 建筑, 木工,手提钻,起重机,打桩机,复合施工场景,道路施工",環境,施工,"道路建設, 建築, 木工,手提鑽,起重機,打樁機,複合施工場景,道路施工",アンビエンス,建設、建築,"道路工事,建築,大工仕事,リフォーム,住宅リノベ,道路補修,建て替え"
AMBIENCE,DESERT,AMBDsrt,AMB,"desert, tumbleweed, oasis, barren, wasteland, sahara, arid, sand dunes, desolate",环境,沙漠,"沙漠,风滚草,绿洲,贫瘠,荒地,撒哈拉,干旱,沙丘",環境,沙漠,"沙漠,風滾草,綠洲,貧瘠,荒地,撒哈拉,乾旱,沙丘",アンビエンス,砂漠,"砂漠,タンブルウィード,オアシス,不毛の地,荒れ地,サハラ砂漠,乾燥,砂丘,荒涼とした地"
AMBIENCE,DESIGNED,AMBDsgn,AMB,"artificial, designed",环境,设计,"人造场景,幻想,科幻,中土,魔幻",環境,設計,"人造場景,幻想,科幻,中土,魔幻",アンビエンス,デザイン,"人工的な,設計された"
AMBIENCE,EMERGENCY,AMBEmrg,AMB,"crime scene, fire fighting, police, medics, evidence, natural disaster, shooting, accident, catastrophe, injury, pileup casualty",环境,紧急,"犯罪现场,消防,警察,医务人员,证据,自然灾害,射击,事故,灾难,伤害,泥石流, 地震, 洪水",環境,緊急,"犯罪現場,消防,警察,醫務人員,證據,自然災害,射擊,事故,災難,傷害,泥石流, 地震, 洪水",アンビエンス,エネルギー,"犯罪現場,消防,警察,医療,証拠,自然災害,銃撃,事故,大惨事,怪我,玉突き事故,死傷者"
AMBIENCE,FANTASY,AMBFant,AMB,"fairy, fantasy, magical, realm, dream, middle earth, pandora",环境,奇幻,"幻想,科幻,中土世界",環境,奇幻,"幻想,科幻,中土世界",アンビエンス,ファンタジー,"妖精,ファンタジー,魔法,領域,夢,中つ国,パンドラ"
AMBIENCE,FARM,AMBFarm,AMB,"farm, harvest, tilling, ranch, farmstead, grange, plantation, farmland, pen, barn, pasture, dairy, vineyard, corral, pastoral",环境,农场,"农场,收获,耕作,牧场,农庄,田庄,种植园,农田,谷仓,牧场,农作物,稻谷,乳制品,葡萄园,畜栏,田园,拖拉机",環境,農場,"農場,收穫,耕作,牧場,農莊,田莊,種植園,農田,穀倉,牧場,農作物,稻穀,乳製品,葡萄園,畜欄,田園,拖拉機",アンビエンス,農場、牧場,"農場,収穫,耕作,牧場,農家,グランジ,プランテーション,農地,ペン,納屋,牧草地,酪農,ブドウ畑,家畜小屋,牧草地"
AMBIENCE,FOREST,AMBForst,AMB,"forest, woods, timberland, boreal forest, rainforest, temperate rainforest, cloud forest, deciduous, conifer",环境,森林,"森林,树林,林地,热带雨林,雨林,云雾林,落叶,针叶树,阔叶林",環境,森林,"森林,樹林,林地,熱帶雨林,雨林,雲霧林,落葉,針葉樹,闊葉林",アンビエンス,森、森林,"森,林,木材,北方林,雨林,温帯雨林,雲霧林,落葉樹,針葉樹"
AMBIENCE,GRASSLAND,AMBGras,AMB,"prairie, farmland, grass, meadow, grazing, pasture, plains",环境,草地,"草原,农田,草地,草地,放牧,牧场,草甸",環境,草地,"草原,農田,草地,草地,放牧,牧場,草甸",アンビエンス,草原,"草原,農地,草,牧草地,放牧地,平野部"
AMBIENCE,HISTORICAL,AMBHist,AMB,"ghost town, old west, gold rush, ancient rome, ancient greece",环境,历史年代,"鬼城, 老西部, 淘金热, 古罗马, 古希腊",環境,歷史年代,"鬼城, 老西部, 淘金熱, 古羅馬, 古希臘",アンビエンス,歴史,"ゴーストタウン,オールドウエスト,ゴールドラッシュ,古代ローマ,古代ギリシア"
AMBIENCE,HITECH,AMBTech,AMB,"laboratory, machine room, server, data center, control room",环境,高科技,"实验室,机房,服务器,数据中心,控制室,宇宙飞船内部",環境,高科技,"實驗室,機房,服務器,數據中心,控制室,宇宙飛船內部",アンビエンス,ハイテク,"実験室,機械室,サーバー,データセンター,制御室"
AMBIENCE,HOSPITAL,AMBHosp,AMB,"emergency room, surgery, waiting room, sickhouse, clinic, sanatorium, infirmary",环境,医院,"急诊室,手术室,候诊室,病房,诊所,疗养院,医务室, 兽医医院",環境,醫院,"急診室,手術室,候診室,病房,診所,療養院,醫務室, 獸醫醫院",アンビエンス,病院,"救急室,手術室,待合室,病室,診療所,療養所,診療所"
AMBIENCE,INDUSTRIAL,AMBInd,AMB,"factory, manufacturing, plant, mill, warehouse, workshop",环境,工业,"工厂,制造,厂,车间,仓库",環境,工業,"工廠,製造,廠,車間,倉庫",アンビエンス,産業,"工場,製造,プラント,ミル,倉庫,ワークショップ"
AMBIENCE,INSECT,AMBInsc,AMB,"crickets, cicadas, katydids, swam, locusts",环境,昆虫,"蝉, 蟋蟀, 昆虫",環境,昆蟲,"蟬, 蟋蟀, 昆蟲",アンビエンス,昆虫,"コオロギ,セミ,キリギリス,スイム,イナゴ"
AMBIENCE,LAKESIDE,AMBLake,AMB,"lakes, lakeside, lapping, swimming, reservoir, pond, loch",环境,湖岸,"湖泊,湖边,水波浪,游泳,水库,池塘,湖泊",環境,湖岸,"湖泊,湖邊,水波浪,游泳,水庫,池塘,湖泊",アンビエンス,湖畔,"湖,湖畔,波打ち際,水泳,貯水池,池,湖"
AMBIENCE,MARKET,AMBMrkt,AMB,"market, market place, vendor, shopping district, bazaar, mart, exchange, flea market, square",环境,市场,"市场,供应商,购物区,集市,交换,跳蚤市场,广场",環境,市場,"市場,供應商,購物區,集市,交換,跳蚤市場,廣場",アンビエンス,マーケット,"市場,マーケットプレイス,業者,商店街,バザー,マート,取引所,蚤の市,広場"
AMBIENCE,MISC,AMBMisc,AMB,miscellaneous,环境,其它,"其他种类的环境, 各种各样的",環境,其它,"其他種類的環境, 各種各樣的",アンビエンス,その他,雑多な
AMBIENCE,NAUTICAL,AMBNaut,AMB,"nautical, shipyard, poopdeck, stern, bow, aft, seafaring, seagoing, oceanic, marine, maritime, marina",环境,航海,"航海,造船厂,船尾甲板,船头,船尾,捕鱼, 航海,远洋,船舱, 深海, 海洋,海事,码头,船坞",環境,航海,"航海,造船廠,船尾甲板,船頭,船尾,捕魚, 航海,遠洋,船艙, 深海, 海洋,海事,碼頭,船塢",アンビエンス,自然,"航海,造船所,プープデッキ,船尾,船首,船尾,海上,航海,海洋,海事,マリーナ"
AMBIENCE,OFFICE,AMBOffc,AMB,"office, cubicle, workplace, department, station, branch, workstation",环境,办公室,"办公室,隔间,工作场所,部门,车站,分支机构,工作站",環境,辦公室,"辦公室,隔間,工作場所,部門,車站,分支機構,工作站",アンビエンス,オフィス,"オフィス,キュービクル,職場,部門,駅,支店,ワークステーション"
AMBIENCE,PARK,AMBPark,AMB,"park, playground, gardens, botantical gardens, city park, suburban park, ballpark, parkland",环境,公园,"公园, 操场, 花园, 植物园, 城市公园, 郊区公园, 棒球场",環境,公園,"公園, 操場, 花園, 植物園, 城市公園, 郊區公園, 棒球場",アンビエンス,公園,"公園,遊び場,庭園,植物園,都市公園,郊外公園,球場,公園用地"
AMBIENCE,PRISON,AMBPrisn,AMB,"prison, jail, prison yard, penitentiary, slammer, jailhouse, detention, solitary confinement, penal institution",环境,监狱,"监狱, 监狱院子, 拘留, 监禁室, 刑罚机构, 禁闭室, 拘留所, 放风场",環境,監獄,"監獄, 監獄院子, 拘留, 監禁室, 刑罰機構, 禁閉室, 拘留所, 放風場",アンビエンス,刑務所,"刑務所,拘置所,刑務所の庭,刑務所,スラマー,拘置所,独房,刑事施設"
AMBIENCE,PROTEST,AMBPrtst,AMB,"protest, rally, rallies, riot, chanting, yelling, screaming, angry crowd, marches, demonstration, turmoil, revolt, revolution, angry",环境,游行,"抗议,集会,集会,骚乱,高喊,大喊大叫,尖叫,愤怒的人群,游行,示威,动荡,反抗,革命,愤怒, 怒吼, 口号",環境,遊行,"抗議,集會,集會,騷亂,高喊,大喊大叫,尖叫,憤怒的人群,遊行,示威,動盪,反抗,革命,憤怒, 怒吼, 口號",アンビエンス,抗議,"抗議,集会,暴動,詠唱,叫び,怒号,行進,デモ,騒動,反乱,革命,怒号"
AMBIENCE,PUBLIC PLACE,AMBPubl,AMB,"stores, lobbies, hotels, malls, museums, public squares, courtyards, gyms, fitness center, motel, library, courthouse, court",环境,公共场所,"除餐厅外其他室内或室外公共场所,商店,大堂,酒店,商场,博物馆,公共广场,庭院",環境,公共場所,"除餐廳外其他室內或室外公共場所,商店,大堂,酒店,商場,博物館,公共廣場,庭院",アンビエンス,公共の場、ホール、劇場,"店舗,ロビー,ホテル,ショッピングモール,美術館,広場,中庭,ジム,フィットネスセンター,モーテル,図書館,裁判所,裁判所"
AMBIENCE,RELIGIOUS,AMBRlgn,AMB,"church, temple, mosque, chapel, derasar, cathedral",环境,宗教场所,"教堂,寺庙,清真寺,教堂,宗教集会,大教堂,朝圣",環境,宗教場所,"教堂,寺廟,清真寺,教堂,宗教集會,大教堂,朝聖",アンビエンス,宗教,"教会,寺院,モスク,チャペル,デラサール,聖堂"
AMBIENCE,RESIDENTIAL,AMBHome,AMB,"home, apartment, condo, mansion, house, townhouse, cabin, house, residence",环境,住宅区,"房间, 窗外, 室内",環境,住宅區,"房間, 窗外, 室內",アンビエンス,居住,"家,アパート,コンドミニアム,邸宅,タウンハウス,キャビン,ハウス,レジデンス"
AMBIENCE,RESTAURANT & BAR,AMBRest,AMB,"restaurant, bar, pub, gastropub, foodcart, diner, cafe, cafeteria, canteen, tearoom, saloon, coffee shop, pizzeria, fast-food, wine bar, automat, commissary, tavern, nightclub, deli, eatery, brasserie, drive-in",环境,餐馆,"餐厅,酒吧,酒馆,美食酒吧,餐车,小餐馆,咖啡厅,自助餐厅,食堂,茶室,沙龙,咖啡店,比萨店,快餐店,酒吧,自动售货机,小卖部,夜总会,熟食店,餐馆",環境,餐館,"餐廳,酒吧,酒館,美食酒吧,餐車,小餐館,咖啡廳,自助餐廳,食堂,茶室,沙龍,咖啡店,比薩店,快餐店,酒吧,自動售貨機,小賣部,夜總會,熟食店,餐館",アンビエンス,レストラン,"レストラン,バー,パブ,ガストロパブ,屋台,食堂,カフェ,カフェテリア,食堂,喫茶店,サルーン,コーヒーショップ,ピザ屋,ファーストフード,ワインバー,オートマット,コミッサリー,居酒屋,ナイトクラブ,デリ,イータリー,ブラッスリー,ドライブイン"
AMBIENCE,ROOM TONE,AMBRoom,AMB,"room tone, dead air, quiet air",环境,房间底噪,"房间,寂静,安静的空气, 空荡",環境,房間底噪,"房間,寂靜,安靜的空氣, 空蕩",アンビエンス,室内音,"ルームトーン,デッドエア,クワイエットエア"
AMBIENCE,RURAL,AMBRurl,AMB,"countryside, plain, prairie, grassland, mountain, rolling hill, savanna, tundra, meadow, canyon, coulee, scrub, scrubland, plateau",环境,农村,"农村,平原,草原,山,连绵起伏的丘陵,树林,草地,峡谷,断崖,灌木丛,高原, 戈壁",環境,農村,"農村,平原,草原,山,連綿起伏的丘陵,樹林,草地,峽谷,斷崖,灌木叢,高原, 戈壁",アンビエンス,農村、農場,"田舎,平野,草原,山,丘陵,サバンナ,ツンドラ,草原,峡谷,クーリー,低木,低木林,台地"
AMBIENCE,SCHOOL,AMBSchl,AMB,"grade school, middle school, highschool, college, preschool, university, classroom, assembly",环境,校园,"小学,初中,高中,学院,学前班,大学,课堂,大会,教室, 操场, 学校走廊, 放学, 食堂",環境,校園,"小學,初中,高中,學院,學前班,大學,課堂,大會,教室, 操場, 學校走廊, 放學, 食堂",アンビエンス,学校,"小学校,中学校,高校,大学,幼稚園,大学,教室,アセンブリ"
AMBIENCE,SCIFI,AMBSci,AMB,"spaceship, tech center, command center, scifi, futuristic, high-tech, hi-tec",环境,科幻,"科技实验室, 宇宙飞船, 赛伯朋克, 蒸汽朋克",環境,科幻,"科技實驗室, 宇宙飛船, 賽伯朋克, 蒸汽朋克",アンビエンス,サイエンスフィクション,"宇宙船,技術センター,コマンドセンター,SF,未来的な,ハイテク,ハイテック"
AMBIENCE,SEASIDE,AMBSea,AMB,"beach, seaside, strand, coastal, shore, shoreline, seashore, seaboard, boardwalk, beach resort, beachfront, embankment, dock, pier, harbour, harbor",环境,海边,"海滩,海边,沿海,沙滩,海岸线,海滨,木板路,海滩度假村,海堤,码头,海港, 岸边",環境,海邊,"海灘,海邊,沿海,沙灘,海岸線,海濱,木板路,海灘度假村,海堤,碼頭,海港, 岸邊",アンビエンス,シーサイド,"ビーチ,シーサイド,ストランド,沿岸,海岸,海岸線,海岸,ボードウォーク,ビーチリゾート,ビーチフロント,堤防,ドック,ピア,港,ハーバー"
AMBIENCE,SPORT,AMBSprt,AMB,"nfl, football, nba, basketball, mlb, baseball, tennis, sport event, little league, practice",环境,运动场,"NFI, 足球, NBA, 篮球, 美国职业棒球大联盟, 棒球, 网球, 体育赛事, 小联盟, 训练,排球,冰球",環境,運動場,"NFI, 足球, NBA, 籃球, 美國職業棒球大聯盟, 棒球, 網球, 體育賽事, 小聯盟, 訓練,排球,冰球",アンビエンス,スポーツ,"NFL,フットボール,NBA,バスケットボール,MLB,野球,テニス,スポーツイベント,リトルリーグ,練習場"
AMBIENCE,SUBURBAN,AMBSubn,AMB,"suburb, residential, neighborhood, cul-de-sac, village, barrio, outskirts, hamlet",环境,郊区,"郊区,住宅,邻里,死胡同,村庄,乡村,郊区",環境,郊區,"郊區,住宅,鄰里,死胡同,村莊,鄉村,郊區",アンビエンス,郊外,"郊外,住宅,近所,袋小路,村,バリオ,郊外,集落"
AMBIENCE,SWAMP,AMBSwmp,AMB,"frog, bog, swamp, everglade, wetland, riparian, lakeside, lake, mangrove",环境,沼泽地,"青蛙,沼泽,湿地,河岸,湖边,湖,红树林, 湿地树木",環境,沼澤地,"青蛙,沼澤,濕地,河岸,湖邊,湖,紅樹林, 濕地樹木",アンビエンス,沼地,"カエル,沼地,湿地帯,水辺,湖畔,湖,マングローブ"
AMBIENCE,TOWN,AMBTown,AMB,"town, village, hamlet, small town, community, settlement",环境,小镇,"镇,村,小村庄,小镇,社区,社区",環境,小鎮,"鎮,村,小村莊,小鎮,社區,社區",アンビエンス,町,"町,村,村落,小さな町,コミュニティ,集落"
AMBIENCE,TRAFFIC,AMBTraf,AMB,"car bys, freeway, highway, boulevard, avenue, motorway",环境,交通,"车道, 高速公路, 林荫大道, 公路, 马路",環境,交通,"車道, 高速公路, 林蔭大道, 公路, 馬路",アンビエンス,交通、トラフィック,"車道,高速道路,高速道路,大通り,高速道路"
AMBIENCE,TRANSPORTATION,AMBTran,AMB,"train station, airport, bus station, subway station, tube station, metro station, terminal, depot, terminus",环境,交通工具,"火车站,机场,汽车站,地铁站,终点站,车厂,火车,公交车站",環境,交通工具,"火車站,機場,汽車站,地鐵站,終點站,車廠,火車,公交車站",アンビエンス,乗り物,"鉄道駅,空港,バスステーション,地下鉄駅,チューブステーション,地下鉄駅,ターミナル,デポ,ターミナス"
AMBIENCE,TROPICAL,AMBTrop,AMB,"jungle, bush, tropical rainforest, cloud forest, tropical",环境,热带,"丛林,灌木,热带雨林,云雾林,热带植物",環境,熱帶,"叢林,灌木,熱帶雨林,雲霧林,熱帶植物",アンビエンス,トロピカル、熱帯,"ジャングル,ブッシュ,熱帯雨林,雲霧林,トロピカル"
AMBIENCE,TUNDRA,AMBTndra,AMB,"artic, antartic, plateau, north pole, south pole, polar, glacier, snow, ice",环境,冻土,"北极,南极,高原,极地,冰川,雪,冰原, 雪原, 暴风雪",環境,凍土,"北極,南極,高原,極地,冰川,雪,冰原, 雪原, 暴風雪",アンビエンス,ツンドラ,"芸術,アンタルティック,高原,北極,南極,極地,氷河,雪,氷"
AMBIENCE,UNDERGROUND,AMBUndr,AMB,"cave, drips, echoes, sewer, bunker, tunnel, dungeon, lava tube, cellar, subterranean, sunken, buried, belowground, basement, shaft, mine, passage, passageway",环境,地下,"洞穴,滴水,回声,下水道,地堡,隧道,地牢,熔岩管,地窖,地下,沉没,埋藏,地下室,竖井,矿井,通道,矿道",環境,地下,"洞穴,滴水,迴聲,下水道,地堡,隧道,地牢,熔岩管,地窖,地下,沉沒,埋藏,地下室,豎井,礦井,通道,礦道",アンビエンス,地下鉄,"洞窟,滴下,エコー,下水道,バンカー,トンネル,ダンジョン,溶岩洞窟,地下室,地下,沈没,埋没,地下,シャフト,鉱山,通路,道筋"
